run_id,variant,group,shock_scale,hostility_scale,recovery_scale,time,event
baseline_no_bounce_0000,baseline_no_bounce,0,0.971182,0.965419,0.983303,7,1
floor_bounce_0000,floor_bounce,1,0.971182,0.965419,0.983303,5,1
baseline_no_bounce_0001,baseline_no_bounce,0,1.140397,0.974482,0.775397,8,1
floor_bounce_0001,floor_bounce,1,1.140397,0.974482,0.775397,6,1
baseline_no_bounce_0002,baseline_no_bounce,0,1.066464,0.946533,0.967456,8,1
floor_bounce_0002,floor_bounce,1,1.066464,0.946533,0.967456,6,1
baseline_no_bounce_0003,baseline_no_bounce,0,1.023177,1.04646,1.174534,8,1
floor_bounce_0003,floor_bounce,1,1.023177,1.04646,1.174534,6,1
baseline_no_bounce_0004,baseline_no_bounce,0,1.131327,1.022101,0.889252,8,1
floor_bounce_0004,floor_bounce,1,1.131327,1.022101,0.889252,6,1
baseline_no_bounce_0005,baseline_no_bounce,0,0.797068,1.049268,1.196662,6,1
floor_bounce_0005,floor_bounce,1,0.797068,1.049268,1.196662,5,1
baseline_no_bounce_0006,baseline_no_bounce,0,1.008331,0.978735,1.079766,8,1
floor_bounce_0006,floor_bounce,1,1.008331,0.978735,1.079766,6,1
baseline_no_bounce_0007,baseline_no_bounce,0,0.709291,0.937545,1.073554,5,1
floor_bounce_0007,floor_bounce,1,0.709291,0.937545,1.073554,3,1
baseline_no_bounce_0008,baseline_no_bounce,0,1.174681,0.951874,1.05649,8,1
floor_bounce_0008,floor_bounce,1,1.174681,0.951874,1.05649,6,1
baseline_no_bounce_0009,baseline_no_bounce,0,1.049643,1.156465,0.833017,10,1
floor_bounce_0009,floor_bounce,1,1.049643,1.156465,0.833017,7,1
baseline_no_bounce_0010,baseline_no_bounce,0,1.11365,0.697096,0.607008,4,1
floor_bounce_0010,floor_bounce,1,1.11365,0.697096,0.607008,2,1
baseline_no_bounce_0011,baseline_no_bounce,0,0.878622,0.816838,1.131402,3,1
floor_bounce_0011,floor_bounce,1,0.878622,0.816838,1.131402,2,1
baseline_no_bounce_0012,baseline_no_bounce,0,1.132853,0.756185,1.127104,5,1
floor_bounce_0012,floor_bounce,1,1.132853,0.756185,1.127104,3,1
baseline_no_bounce_0013,baseline_no_bounce,0,0.799559,0.982751,0.955915,6,1
floor_bounce_0013,floor_bounce,1,0.799559,0.982751,0.955915,5,1
baseline_no_bounce_0014,baseline_no_bounce,0,1.022884,1.163727,1.095762,10,1
floor_bounce_0014,floor_bounce,1,1.022884,1.163727,1.095762,7,1
baseline_no_bounce_0015,baseline_no_bounce,0,1.069977,1.12999,1.071774,9,1
floor_bounce_0015,floor_bounce,1,1.069977,1.12999,1.071774,7,1
baseline_no_bounce_0016,baseline_no_bounce,0,0.874603,0.856526,0.929505,5,1
floor_bounce_0016,floor_bounce,1,0.874603,0.856526,0.929505,3,1
baseline_no_bounce_0017,baseline_no_bounce,0,1.099865,0.949977,1.350363,7,1
floor_bounce_0017,floor_bounce,1,1.099865,0.949977,1.350363,6,1
baseline_no_bounce_0018,baseline_no_bounce,0,0.836141,0.780225,1.115271,3,1
floor_bounce_0018,floor_bounce,1,0.836141,0.780225,1.115271,2,1
baseline_no_bounce_0019,baseline_no_bounce,0,1.28437,1.101139,1.125373,10,1
floor_bounce_0019,floor_bounce,1,1.28437,1.101139,1.125373,7,1
baseline_no_bounce_0020,baseline_no_bounce,0,1.285269,0.981195,0.786556,10,1
floor_bounce_0020,floor_bounce,1,1.285269,0.981195,0.786556,7,1
baseline_no_bounce_0021,baseline_no_bounce,0,0.893585,1.190579,0.783448,10,1
floor_bounce_0021,floor_bounce,1,0.893585,1.190579,0.783448,7,1
baseline_no_bounce_0022,baseline_no_bounce,0,1.006706,1.050647,0.952661,8,1
floor_bounce_0022,floor_bounce,1,1.006706,1.050647,0.952661,6,1
baseline_no_bounce_0023,baseline_no_bounce,0,1.144726,1.116156,1.348211,9,1
floor_bounce_0023,floor_bounce,1,1.144726,1.116156,1.348211,7,1
baseline_no_bounce_0024,baseline_no_bounce,0,1.123994,0.878119,0.91573,7,1
floor_bounce_0024,floor_bounce,1,1.123994,0.878119,0.91573,5,1
baseline_no_bounce_0025,baseline_no_bounce,0,0.833684,1.190455,0.914975,9,1
floor_bounce_0025,floor_bounce,1,0.833684,1.190455,0.914975,7,1
baseline_no_bounce_0026,baseline_no_bounce,0,0.985948,1.149861,0.891481,10,1
floor_bounce_0026,floor_bounce,1,0.985948,1.149861,0.891481,7,1
baseline_no_bounce_0028,baseline_no_bounce,0,0.886453,1.083152,1.179024,8,1
floor_bounce_0028,floor_bounce,1,0.886453,1.083152,1.179024,6,1
baseline_no_bounce_0029,baseline_no_bounce,0,0.996307,1.052273,1.025195,8,1
floor_bounce_0029,floor_bounce,1,0.996307,1.052273,1.025195,6,1
baseline_no_bounce_0030,baseline_no_bounce,0,1.216948,1.178671,1.041054,11,1
floor_bounce_0030,floor_bounce,1,1.216948,1.178671,1.041054,8,1
baseline_no_bounce_0031,baseline_no_bounce,0,0.797811,1.180677,1.057157,8,1
floor_bounce_0031,floor_bounce,1,0.797811,1.180677,1.057157,6,1
baseline_no_bounce_0032,baseline_no_bounce,0,1.245388,0.994019,1.292965,9,1
floor_bounce_0032,floor_bounce,1,1.245388,0.994019,1.292965,7,1
baseline_no_bounce_0033,baseline_no_bounce,0,0.928225,1.318612,1.017268,11,1
floor_bounce_0033,floor_bounce,1,0.928225,1.318612,1.017268,8,1
baseline_no_bounce_0034,baseline_no_bounce,0,0.896746,0.77431,0.977345,3,1
floor_bounce_0034,floor_bounce,1,0.896746,0.77431,0.977345,2,1
baseline_no_bounce_0035,baseline_no_bounce,0,1.284664,1.163275,1.103333,11,1
floor_bounce_0035,floor_bounce,1,1.284664,1.163275,1.103333,8,1
baseline_no_bounce_0036,baseline_no_bounce,0,0.524825,1.142193,1.083378,6,1
floor_bounce_0036,floor_bounce,1,0.524825,1.142193,1.083378,5,1
baseline_no_bounce_0037,baseline_no_bounce,0,0.890015,0.874523,0.999653,5,1
floor_bounce_0037,floor_bounce,1,0.890015,0.874523,0.999653,3,1
baseline_no_bounce_0038,baseline_no_bounce,0,1.344975,0.78898,0.935829,7,1
floor_bounce_0038,floor_bounce,1,1.344975,0.78898,0.935829,5,1
baseline_no_bounce_0039,baseline_no_bounce,0,1.272357,0.91077,0.945362,8,1
floor_bounce_0039,floor_bounce,1,1.272357,0.91077,0.945362,6,1
baseline_no_bounce_0040,baseline_no_bounce,0,1.019555,0.751742,1.032992,3,1
floor_bounce_0040,floor_bounce,1,1.019555,0.751742,1.032992,2,1
baseline_no_bounce_0041,baseline_no_bounce,0,0.758076,1.17704,1.000477,8,1
floor_bounce_0041,floor_bounce,1,0.758076,1.17704,1.000477,6,1
baseline_no_bounce_0042,baseline_no_bounce,0,1.456686,1.056168,1.204853,11,1
floor_bounce_0042,floor_bounce,1,1.456686,1.056168,1.204853,8,1
baseline_no_bounce_0043,baseline_no_bounce,0,0.739347,0.975572,1.048472,5,1
floor_bounce_0043,floor_bounce,1,0.739347,0.975572,1.048472,4,1
baseline_no_bounce_0044,baseline_no_bounce,0,1.349144,0.663817,1.148593,5,1
floor_bounce_0044,floor_bounce,1,1.349144,0.663817,1.148593,3,1
baseline_no_bounce_0045,baseline_no_bounce,0,1.118271,1.306709,1.106858,12,1
floor_bounce_0045,floor_bounce,1,1.118271,1.306709,1.106858,8,1
baseline_no_bounce_0046,baseline_no_bounce,0,1.010414,0.89567,0.812773,6,1
floor_bounce_0046,floor_bounce,1,1.010414,0.89567,0.812773,5,1
baseline_no_bounce_0047,baseline_no_bounce,0,1.039085,0.961661,1.30304,7,1
floor_bounce_0047,floor_bounce,1,1.039085,0.961661,1.30304,6,1
baseline_no_bounce_0048,baseline_no_bounce,0,0.877795,1.064078,0.76465,8,1
