cycle_start_ts_utc,cycle_end_ts_utc,cycle_id,selected_focus,router_outcome,stage_decisions,success_flag,error_code,sleep_idle_active_state,mode,memory_count,token_budget,cycle_duration_s_est
2026-02-15T18:18:44Z,2026-02-15T18:18:44Z,131d77f2,ambient,express,"{""routing_focus"": ""express"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,0
2026-02-15T18:18:44Z,2026-02-15T18:19:41Z,388f8144,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,micro,0,3000,57
2026-02-15T18:19:41Z,2026-02-15T21:01:18Z,87ecbe4b,thread_focus,express,"{""routing_focus"": ""express"", ""token_budget"": 10000, ""memory_count"": 1, ""dropped_count"": 0}",1,,active,express,1,10000,9696
2026-02-15T21:01:18Z,2026-02-15T21:09:46Z,159512a1,consume_focus,engage,"{""routing_focus"": ""engage"", ""token_budget"": 6000, ""memory_count"": 1, ""dropped_count"": 0}",1,,active,engage,1,6000,508
2026-02-15T21:09:46Z,2026-02-15T21:19:40Z,995e3ab7,ambient,express,"{""routing_focus"": ""express"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,593
2026-02-15T21:19:40Z,2026-02-15T21:24:50Z,c79e2e9b,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,309
2026-02-15T21:24:50Z,2026-02-15T21:34:47Z,fe6ce557,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,596
2026-02-15T21:34:47Z,2026-02-15T21:42:21Z,bd738930,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,453
2026-02-15T21:42:21Z,2026-02-15T22:03:08Z,357b453e,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,1246
2026-02-15T22:03:08Z,2026-02-15T22:33:57Z,ae209119,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,1848
2026-02-15T22:33:57Z,2026-02-15T22:40:29Z,640264df,thread_focus,express,"{""routing_focus"": ""express"", ""token_budget"": 10000, ""memory_count"": 1, ""dropped_count"": 0}",1,,active,express,1,10000,392
2026-02-15T22:40:29Z,2026-02-15T22:43:11Z,c429d01c,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,162
2026-02-15T22:43:11Z,2026-02-15T23:00:41Z,e2e265f3,ambient,idle,"{""routing_focus"": ""idle"", ""token_budget"": 3000, ""memory_count"": 0, ""dropped_count"": 0}",1,,idle,idle,0,3000,1050
