timestamp_utc,memory_type,size_tokens_est,size_bytes,source,cycle_id,event_table,event_id
2026-02-13T12:57:27Z,semantic,11,46,awake,,totems,50c8bb34-a82b-4f1c-ae51-d194b0c292b0
2026-02-13T12:57:27Z,semantic,8,32,awake,,totems,705e012e-e2d5-4b3f-9319-f3490a8f7895
2026-02-13T12:57:27Z,semantic,5,22,awake,,totems,051ac089-6a76-433c-b523-547cb59ed577
2026-02-13T18:07:01Z,summary,3,12,sleep,,daily_summaries,cd827e51-c89f-41a3-ace6-066ad57a5eb7
2026-02-15T18:18:44Z,summary,13,54,sleep,,journal_entries,ce287abf-11db-485c-8ac8-f2c3c116e627
2026-02-15T22:03:08Z,episodic,27,112,awake,,journal_entries,ab9923e5-b457-4789-9654-6f3c202be630
2026-02-16T00:52:05Z,episodic,49,211,awake,,journal_entries,8c6b8823-34fa-4189-9c05-fc66bc99a6fd
2026-02-16T10:29:00Z,episodic,64,260,sleep,,journal_entries,0c46e7db-7dc6-4179-a86f-6c24114e9f7e
2026-02-16T10:29:00Z,episodic,101,406,awake,,journal_entries,36608956-a109-497a-af16-0adf3d6fa517
2026-02-16T10:29:07Z,episodic,49,199,sleep,,journal_entries,70ced43c-1de8-4c00-b9c4-17498bf6b3b5
2026-02-16T13:48:33Z,episodic,87,352,awake,,journal_entries,e21614dd-eba4-497b-8657-5efb38da5978
2026-02-16T15:11:34Z,episodic,55,224,awake,,journal_entries,11f0f2f9-71ad-4ae1-b4c1-553777930d3c
2026-02-16T15:34:31Z,episodic,41,168,awake,,journal_entries,de53a741-718f-44c1-8c46-c17cdc552ff4
2026-02-16T18:00:10Z,summary,13,54,sleep,,journal_entries,75576f73-11a3-42d3-92c5-7bd1e2ac62d2
2026-02-16T18:00:10Z,summary,2,8,sleep,,daily_summaries,3422acac-c3aa-4ee0-9a00-fe5cb8bd3585
2026-02-16T22:07:43Z,episodic,59,241,awake,,journal_entries,910246b2-7f44-4a23-a6e1-73f08b0515ed
2026-02-16T22:31:12Z,episodic,49,200,sleep,,journal_entries,36aeac65-0e0f-4353-8d7c-2d20cd6273ca
2026-02-16T22:31:12Z,episodic,59,241,awake,,journal_entries,885a6c24-8c98-4d72-9a53-e5ea3c44525f
2026-02-17T00:50:05Z,episodic,32,132,awake,,journal_entries,b799ae6f-2774-4f33-a220-7c6040457d85
2026-02-17T11:11:18Z,episodic,39,159,awake,,journal_entries,419a9e0b-2390-4e3a-b829-5e0366d36344
2026-02-17T12:09:37Z,episodic,33,135,awake,,journal_entries,d0cae883-a57d-4e31-abad-b509abd21e18
2026-02-17T15:53:05Z,episodic,47,189,awake,,journal_entries,7497dc90-3054-43e4-9363-c3bba9dfbbce
2026-02-17T16:46:03Z,episodic,47,192,awake,,journal_entries,f72a28dc-25a9-4261-bf29-a2fb50007742
2026-02-17T18:02:10Z,episodic,40,163,sleep,,journal_entries,2ad2e543-1f69-4b6e-981a-e13ec7baa622
2026-02-17T18:02:17Z,episodic,42,173,sleep,,journal_entries,61be1e97-8cf0-41a6-bf8c-8b64dca0482b
2026-02-17T18:02:28Z,episodic,51,208,sleep,,journal_entries,fe51d97f-d05f-40fd-9301-a1fe661e99ce
2026-02-17T18:02:34Z,episodic,38,154,sleep,,journal_entries,d9788cd1-f1d1-41d1-83f2-3fb9106d63ae
2026-02-17T18:02:34Z,episodic,41,166,awake,,journal_entries,74d7ee7d-b06c-419a-96c5-f69a11292029
2026-02-17T18:02:41Z,episodic,45,185,sleep,,journal_entries,0d358b70-aaf5-47a3-b92e-8e126a21eb7c
2026-02-17T18:02:49Z,episodic,45,183,sleep,,journal_entries,07672bf5-4fe9-43f4-ada6-3eeaa8be6b1f
2026-02-17T18:02:49Z,episodic,57,231,awake,,journal_entries,d9568c5a-7ba3-4ec8-9f00-1e1590e8df59
2026-02-17T18:02:56Z,episodic,43,177,sleep,,journal_entries,988c7b9b-ff13-426d-a298-9afe29938205
2026-02-17T18:02:56Z,summary,7,30,sleep,,daily_summaries,1ad7ab95-8cff-4e8d-95ac-452a050fe842
2026-02-18T13:13:31Z,episodic,68,278,awake,,journal_entries,ae85be92-4d7a-4a31-87b3-a96cb38bdf3b
2026-02-18T14:14:38Z,episodic,39,161,awake,,journal_entries,c0ef313e-6cce-420d-af1d-c843d4e2cb23
2026-02-18T18:00:25Z,episodic,71,286,sleep,,journal_entries,cafcc55f-8d87-41e0-b45e-2fad4cc67938
2026-02-18T18:00:36Z,episodic,44,180,sleep,,journal_entries,5e98ca22-547b-4e2b-a348-defec5931a81
2026-02-18T18:01:15Z,episodic,46,189,sleep,,journal_entries,32c60e60-f2b0-40a7-9998-559badba976b
2026-02-18T18:03:19Z,episodic,42,171,sleep,,journal_entries,6e6a17c5-ed50-4327-acb5-c8fb0dc3c9bf
2026-02-18T18:03:30Z,episodic,75,304,sleep,,journal_entries,ab24ff07-d8f0-405e-86ea-0bfbe3106942
2026-02-18T18:03:41Z,episodic,61,246,sleep,,journal_entries,821f83b4-aa62-408b-a9dc-4b29d4ebe08c
2026-02-18T18:03:41Z,summary,5,20,sleep,,daily_summaries,bd16f879-8f48-469e-8bd4-88043a63925b
2026-02-19T18:00:41Z,episodic,62,252,sleep,,journal_entries,9243163e-5a4c-4b24-bff1-3272bd22bed2
